source_split	qid	annotation_type	query	Too narrow or specific	Too broad or vague	Lacks necessary context	Ambiguous or poorly defined	Unclear topic or focus	Requires specialized knowledge	Not a general knowledge query	No clear answer available	Not a standard question	Unconventional format or structure
19	1110199	LLM judgement	what is wifi vs bluetooth	0	0	0	0	0	0	1	0	0	0
19	1110199	Human annotation	what is wifi vs bluetooth	0	1	0	0	0	0	1	0	0	0
19	915593	LLM judgement	what types of food can you cook sous vide	0	0	0	0	0	0	1	0	0	0
19	915593	Human annotation	what types of food can you cook sous vide	0	1	0	0	0	0	1	0	0	0
19	264014	LLM judgement	how long is life cycle of flea	0	0	0	0	0	0	1	0	0	0
19	264014	Human annotation	how long is life cycle of flea	0	0	0	1	0	1	0	0	0	0
19	359349	LLM judgement	how to find the midsegment of a trapezoid	0	0	0	0	0	0	0	0	0	0
19	359349	Human annotation	how to find the midsegment of a trapezoid	0	0	0	0	0	0	1	0	0	0
19	104861	LLM judgement	cost of interior concrete flooring	0	0	0	0	0	0	1	0	0	0
19	104861	Human annotation	cost of interior concrete flooring	0	0	0	0	0	0	1	0	0	0
19	1114819	LLM judgement	what is durable medical equipment consist of	0	0	0	0	0	0	1	0	0	0
19	1114819	Human annotation	what is durable medical equipment consist of	0	0	0	0	0	0	1	0	0	0
19	1124210	LLM judgement	tracheids are part of _____.	0	0	0	0	0	0	1	0	0	0
19	1124210	Human annotation	tracheids are part of _____.	0	0	0	0	0	0	0	0	1	0
19	87452	LLM judgement	causes of military suicide	0	0	0	0	0	0	1	0	1	0
19	87452	Human annotation	causes of military suicide	0	0	0	0	0	0	1	0	1	0
19	1114646	LLM judgement	what is famvir prescribed for	0	0	0	0	0	0	1	0	0	0
19	1114646	Human annotation	what is famvir prescribed for	0	0	0	0	0	0	1	0	0	0
19	182539	LLM judgement	example of monotonic function	0	0	0	0	0	0	1	0	1	0
19	182539	Human annotation	example of monotonic function	0	0	0	0	0	0	1	0	0	0
19	1129237	LLM judgement	hydrogen is a liquid below what temperature	0	0	0	0	0	0	0	0	0	0
19	1129237	Human annotation	hydrogen is a liquid below what temperature	0	0	0	0	0	0	1	0	1	0
19	146187	LLM judgement	difference between a mcdouble and a double cheeseburger	0	0	0	0	0	0	1	0	0	0
19	146187	Human annotation	difference between a mcdouble and a double cheeseburger	0	0	0	0	0	0	1	0	0	0
20	1106979	LLM judgement	define pareto chart in statistics	0	0	0	0	0	0	1	0	0	0
20	1106979	Human annotation	define pareto chart in statistics	0	0	0	0	0	1	1	0	0	0
20	1116380	LLM judgement	what is a nonconformity? earth science	0	0	0	0	0	0	1	0	1	0
20	1116380	Human annotation	what is a nonconformity? earth science	0	0	0	0	0	1	1	0	0	0
20	1122767	LLM judgement	what amino produces carnitine	0	0	0	0	0	0	1	0	1	0
20	1122767	Human annotation	what amino produces carnitine	0	0	0	0	0	0	1	0	0	0
20	174463	LLM judgement	dog day afternoon meaning	0	0	0	0	0	0	1	0	1	0
20	174463	Human annotation	dog day afternoon meaning	0	0	0	0	1	0	1	0	0	0
20	23849	LLM judgement	are naturalization records public information	0	0	0	0	0	0	0	0	0	0
20	23849	Human annotation	are naturalization records public information	0	0	0	0	0	0	1	0	0	0
20	324585	LLM judgement	how much money do motivational speakers make	0	0	0	0	0	0	1	1	1	0
20	324585	Human annotation	how much money do motivational speakers make	0	0	0	0	0	0	1	1	0	0
20	330975	LLM judgement	how much would it cost to install my own wind turbine	0	0	0	0	0	0	1	0	1	0
20	330975	Human annotation	how much would it cost to install my own wind turbine	0	0	0	0	0	1	1	0	0	0
20	332593	LLM judgement	how often to button quail lay eggs	0	0	0	0	0	0	1	0	1	0
20	332593	Human annotation	how often to button quail lay eggs	0	0	0	0	0	1	1	0	0	0
20	673670	LLM judgement	what is a alm	0	0	0	0	0	0	1	0	1	0
20	673670	Human annotation	what is a alm	0	0	0	0	0	1	1	0	0	0
20	701453	LLM judgement	what is a statutory deed	0	0	0	0	0	0	1	0	1	0
20	701453	Human annotation	what is a statutory deed	0	0	0	0	0	0	1	0	0	0
20	940547	LLM judgement	when did rock n roll begin?	0	0	0	0	0	0	1	0	0	0
